Particle A Position,Particle B Position
0.0,100.0
5e-11,100.0
4.5e-10,100.0
1.80000000001e-09,100.0
5.00000000004e-09,100.000000002
1.12500000002e-08,100.000000006
2.20500000007e-08,100.000000013
3.92000000019e-08,100.000000025
6.48000000047e-08,100.000000044
1.0125000001e-07,100.000000073
1.51250000022e-07,100.000000113
2.17800000042e-07,100.000000167
3.04200000076e-07,100.000000239
4.14050000132e-07,100.000000332
5.5125000022e-07,100.00000045
7.20000000355e-07,100.000000596
9.24800000554e-07,100.000000775
1.17045000084e-06,100.000000992
1.46205000125e-06,100.000001251
1.80500000182e-06,100.000001558
2.2050000026e-06,100.000001918
2.66805000365e-06,100.000002337
3.20045000504e-06,100.000002821
3.80880000686e-06,100.000003376
4.50000000922e-06,100.00000401
5.28125001224e-06,100.000004729
6.16005001608e-06,100.00000554
7.1442000209e-06,100.000006451
8.24180002692e-06,100.00000747
9.46125003436e-06,100.000008606
1.08112500435e-05,100.000009866
1.23008000546e-05,100.000011259
1.39392000682e-05,100.000012795
1.57360500844e-05,100.000014483
1.77012501039e-05,100.000016333
1.98450001272e-05,100.000018354
2.21778001548e-05,100.000020557
2.47104501873e-05,100.000022953
2.74540502255e-05,100.000025552
3.04200002703e-05,100.000028366
3.36200003224e-05,100.000031406
3.70660503829e-05,100.000034684
4.0770450453e-05,100.000038212
4.47458005337e-05,100.000042002
4.90050006264e-05,100.000046068
5.35612507327e-05,100.000050422
5.8428050854e-05,100.000055077
6.36192009921e-05,100.000060047
6.9148801149e-05,100.000065346
7.50312513267e-05,100.000070989
8.12812515274e-05,100.000076989
8.79138017536e-05,100.000083361
9.4944202008e-05,100.000090121
0.000102388052293,100.000097284
0.000110261252613,100.000104866
0.000118580002969,100.000112882
0.000127360803367,100.000121349
0.00013662045381,100.000130284
0.000146376054301,100.000139703
0.000156645004846,100.000149624
0.000167445005449,100.000160064
0.000178794056116,100.000171041
0.000190710456851,100.000182573
0.00020321280766,100.000194678
0.00021632000855,100.000207376
0.000230051259527,100.000220685
0.000244426060598,100.000234624
0.000259464211771,100.000249213
0.000275185813054,100.000264472
0.000291611264455,100.000280422
0.000308761265982,100.000297082
0.000326656817646,100.000314473
0.000345319219456,100.000332617
0.000364770071423,100.000351535
0.000385031273558,100.000371249
0.000406125025872,100.00039178
0.000428073828379,100.000413151
0.000450900481092,100.000435385
0.000474628084024,100.000458504
0.000499280037189,100.000482532
0.000524880040604,100.000507492
0.000551452094284,100.000533408
0.000579020498246,100.000560304
0.000607609852508,100.000588204
0.000637245057089,100.000617134
0.000667951312009,100.000647118
0.000699754117287,100.000678181
0.000732679272946,100.000710349
0.000766752879008,100.000743648
0.000802001335497,100.000778105
0.000838451342438,100.000813745
0.000876129899856,100.000850595
0.000915064307778,100.000888683
0.000955282166233,100.000928036
0.00099681137525,100.000968682
0.00103968013486,100.001010648
0.0010839169451,100.001053963
0.00112955060599,100.001098656
0.00117661021758,100.001144755
0.0012251251799,100.00119229
0.00127512519298,100.00124129
0.00132664025688,100.001291785
0.00137970067162,100.001343805
0.00143433703726,100.001397381
0.00149058025383,100.001452542
0.00154846152138,100.001509321
0.00160801233996,100.001567748
0.00166926450963,100.001627855
0.00173225013042,100.001689675
0.0017970016024,100.001753238
0.00186355162563,100.001818578
0.00193193320015,100.001885728
0.00200217962603,100.00195472
0.00207432450334,100.002025588
0.00214840173213,100.002098365
0.00222444551247,100.002173086
0.00230249034444,100.002249786
0.0023825710281,100.002328497
0.00246472266353,100.002409257
0.0025489806508,100.002492099
0.00263538069,100.002577059
0.0027239587812,100.002664173
0.0028147512245,100.002753477
0.00290779461997,100.002845007
0.00300312586772,100.002938801
0.00310078216782,100.003034895
0.00320080102039,100.003133326
0.00330322022552,100.003234132
0.00340807788331,100.003337351
0.00351541239387,100.003443022
0.00362526245731,100.003551182
0.00373766707374,100.00366187
0.00385266554328,100.003775126
0.00397029746605,100.00389099
0.00409060274217,100.004009499
0.00421362157177,100.004130696
0.00433939445499,100.004254619
0.00446796219195,100.00438131
0.0045993658828,100.004510809
0.00473364692768,100.004643158
0.00487084702675,100.004778398
0.00501100818014,100.004916571
0.00515417268802,100.005057719
0.00530038315056,100.005201885
0.0054496824679,100.00534911
0.00560211384024,100.005499439
0.00575772076773,100.005652915
0.00591654705057,100.00580958
0.00607863678893,100.005969479
0.00624403438301,100.006132657
0.00641278453301,100.006299157
0.00658493223912,100.006469025
0.00676052280154,100.006642305
0.0069396018205,100.006819043
0.00712221519621,100.006999285
0.00730840912889,100.007183076
0.00749823011877,100.007370463
0.00769172496608,100.007561493
0.00788894077108,100.007756213
0.008089924934,100.007954669
0.00829472515509,100.008156909
0.00850338943463,100.008362981
0.00871596607287,100.008572933
0.00893250367009,100.008786814
0.00915305112657,100.009004672
0.00937765764259,100.009226556
0.00960637271845,100.009452515
0.00983924615446,100.0096826
0.0100763280509,100.009916859
0.0103176688081,100.010155344
0.0105633191265,100.010398104
0.0108133300062,100.010645191
0.0110677527477,100.010896655
0.0113266389513,100.011152549
0.0115900405174,100.011412923
0.0118580096463,100.011677829
0.0121305988384,100.011947321
0.0124078608941,100.01222145
0.0126898489137,100.01250027
0.0129766162977,100.012783833
0.0132682167465,100.013072193
0.0135647042606,100.013365405
0.0138661331402,100.013663521
0.0141725579859,100.013966597
0.0144840336981,100.014274687
0.0148006154772,100.014587847
0.0151223588238,100.01490613
0.0154493195383,100.015229594
0.0157815537211,100.015558294
0.0161191177729,100.015892286
0.016462068394,100.016231626
0.016810462585,100.016576372
0.0171643576465,100.016926581
0.017523811179,100.01728231
0.0178888810829,100.017643616
0.018259625559,100.018010558
0.0186361031078,100.018383194
0.0190183725298,100.018761582
0.0194064929256,100.019145782
0.0198005236959,100.019535853
0.0202005245413,100.019931854
0.0206065554624,100.020333845
0.0210186767599,100.020741886
0.0214369490344,100.021156037
0.0218614331866,100.021576359
0.0222921904172,100.022002914
0.0227292822269,100.022435762
0.0231727704165,100.022874966
0.0236227170866,100.023320586
0.0240791846379,100.023772685
0.0245422357713,100.024231326
0.0250119334875,100.024696572
0.0254883410874,100.025168485
0.0259715221716,100.025647129
0.0264615406411,100.026132568
0.0269584606967,100.026624866
0.0274623468391,100.027124086
0.0279732638694,100.027630294
0.0284912768882,100.028143555
0.0290164512967,100.028663933
0.0295488527956,100.029191495
0.030088547386,100.029726305
0.0306356013687,100.030268431
0.0311900813447,100.030817938
0.031752054215,100.031374893
0.0323215871807,100.031939363
0.0328987477426,100.032511416
0.0334836037019,100.033091119
0.0340762231597,100.03367854
0.0346766745169,100.034273747
0.0352850264747,100.034876809
0.0359013480343,100.035487795
0.0365257084966,100.036106773
0.037158177463,100.036733813
0.0377988248345,100.037368985
0.0384477208124,100.038012358
0.0391049358978,100.038664003
0.039770540892,100.039323991
0.0404446068963,100.039992393
0.041127205312,100.040669279
0.0418184078402,100.041354722
0.0425182864824,100.042048792
0.0432269135399,100.042751563
0.0439443616141,100.043463106
0.0446707036063,100.044183494
0.045406012718,100.044912801
0.0461503624506,100.045651099
0.0469038266055,100.046398462
0.0476664792842,100.047154964
0.0484383948883,100.04792068
0.0492196481193,100.048695683
0.0500103139786,100.049480049
0.050810467768,100.050273852
0.051620185089,100.051077168
0.0524395418432,100.051890073
0.0532686142323,100.052712643
0.054107478758,100.053544954
0.054956212222,100.054387083
0.055814891726,100.055239106
0.0566835946718,100.0561011
0.0575623987611,100.056973144
0.0584513819959,100.057855315
0.0593506226779,100.058747692
0.060260199409,100.059650351
0.0611801910912,100.060563373
0.0621106769263,100.061486837
0.0630517364163,100.06242082
0.0640034493633,100.063365404
0.0649658958692,100.064320668
0.065939156336,100.065286693
0.066923311466,100.066263558
0.0679184422612,100.067251344
0.0689246300237,100.068250134
0.0699419563557,100.069260007
0.0709705031594,100.070281046
0.0720103526372,100.071313333
0.0730615872912,100.07235695
0.0741242899237,100.073411979
0.0751985436372,100.074478505
0.0762844318339,100.075556609
0.0773820382164,100.076646375
0.078491446787,100.077747887
0.0796127418482,100.07886123
0.0807460080026,100.079986487
0.0818913301527,100.081123743
0.0830487935011,100.082273084
0.0842184835504,100.083434594
0.0854004861033,100.08460836
0.0865948872625,100.085794466
0.0878017734307,100.086993
0.0890212313108,100.088204048
0.0902533479054,100.089427697
0.0914982105176,100.090664033
0.0927559067501,100.091913144
0.0940265245059,100.093175118
0.0953101519881,100.094450043
0.0966068776995,100.095738007
0.0979167904433,100.097039098
0.0992399793225,100.098353407
0.10057653374,100.099681021
0.1019265434,100.10102203
0.103290098305,100.102376525
0.104667288758,100.103744595
0.106058205362,100.10512633
0.107462939022,100.106521822
0.10888158094,100.107931161
0.110314222619,100.109354439
0.111760955864,100.110791748
0.113221872778,100.112243178
0.114697065764,100.113708823
0.116186627527,100.115188774
0.117690651069,100.116683125
0.119209229694,100.118191969
0.120742457007,100.1197154
0.122290426911,100.12125351
0.123853233609,100.122806394
0.125430971607,100.124374146
0.127023735707,100.125956861
0.128631621015,100.127554634
0.130254722933,100.129167559
0.131893137166,100.130795733
0.133546959719,100.132439251
0.135216286895,100.13409821
0.136901215298,100.135772705
0.138601841834,100.137462834
0.140318263706,100.139168693
0.14205057842,100.14089038
0.143798883778,100.142627992
0.145563277887,100.144381628
0.14734385915,100.146151385
0.149140726272,100.147937361
0.150953978259,100.149739657
0.152783714414,100.15155837
0.154630034343,100.153393601
0.15649303795,100.155245449
0.158372825441,100.157114014
0.16026949732,100.158999396
0.162183154393,100.160901696
0.164113897765,100.162821014
0.16606182884,100.164757453
